Thomas	type of	character
a village	type of	location
Salmon Steps	type of	location
fish	type of	object
Matt	type of	character
Ender Pearls	type of	object
Jesse	type of	character
Desert Refuge	type of	location
Nila	type of	character
ore veins deep in the ground	type of	location
Paul	type of	character
Villager's temple	type of	location
ancient ruins, and deep within the Overworld itself	type of	location
diamonds	type of	object
Bella	type of	character
dangerous places	type of	location
golden apples	type of	object
Mike	type of	character
red banners	type of	object
Justin	type of	character
outdoors in plains and forests	type of	location
poppies, common red flowers	type of	object
Mister Meek	type of	character
Potion of Strength	type of	object
Baba	type of	character
Lee	type of	character
cyan dye	type of	object
Sandy	type of	character
Baker	type of	character
Wilson	type of	character
deserts, taiga forests, and frozen regions	type of	location
Tammy	type of	character
plains and savannas	type of	location
Greta	type of	character
Hamlet-By-The-Grass	type of	location
Romeo	type of	character
temperate forests	type of	location
Caleb	type of	character
a desert village	type of	location
snowy tundras, in frosted rivers	type of	location
Maria	type of	character
a snowy village	type of	location
sticks	type of	object
wood logs	type of	object
Will	type of	character
Nick	type of	character
Harry	type of	character
wooden planks	type of	object
cobblestone	type of	object
Redstone Dust	type of	object
Kevin	type of	character
The End	type of	location
Chorus Fruits	type of	object
Lou	type of	character
Miles the Moron	type of	character
Wide Woodland	type of	location
Carl	type of	character
Spruced Hills	type of	location
Cocoa Hamlet	type of	location
Ilona	type of	character
mushroom fields, and dimly lit places	type of	location
Anders	type of	character
Bertha	type of	character
Fred	type of	character
Narcissos	type of	character
Pete	type of	character
sandy beaches	type of	location
Felicia	type of	character
Bruce	type of	character
Luke	type of	character
Larry	type of	character
Zara	type of	character
Darkwater Bog	type of	location
Legolas	type of	character
Mario	type of	character
Lily Forest	type of	location
Lone Wolf	type of	character
Lily	type of	character
Nether	type of	location
Judas	type of	character
Woodland Homestead	type of	location
Desolate Plains	type of	location
Test Subject	type of	character
Dave	type of	character
Jack	type of	character
Creepers	type of	character
Awesome Bow	type of	object
Oliver	type of	character
Dagon	type of	character
a jungle temple	type of	location
"Secrets of the Overworld"	type of	object
John	type of	character
a nearby mineshaft	type of	location
"The Nether: Compiled Accounts of the Hellish Plane"	type of	object
Xan	type of	character
Fishing Hamlet	type of	location
Deepwood Tower	type of	location
Ron	type of	character
Ron's home	type of	location
Reverend Revan	type of	character
a ruined portal not for from the village	type of	location
Kate	type of	character
Seaside Settlement	type of	location
a beach not that far away from Seaside Settlement	type of	location
Ender Dragon	type of	character
Humming Hills	type of	location
Cleo	type of	character
Inkspot	type of	character
Rivermouth	type of	location
Mapmaker	type of	character
Edward	type of	character
Pope	type of	character
Una	type of	character
Suspicious Man	type of	character
Tim	type of	character
underground in deep caves	type of	location
Mickey	type of	character
oceans	type of	location
James	type of	character
practically everywhere with grass	type of	location
Sean	type of	character
dungeons, mineshafts, and woodland mansions	type of	location
Kitt	type of	character
a sunken ship east of Seaside Settlement	type of	location
Jane	type of	character
an ocean ruin far west of here	type of	location
Kant	type of	character
village	type of	location
an igloo to the north	type of	location
Spook	type of	character
Heide	type of	character
an ocean monument: a dangerous underwater temple made out of turquoise stone blocks, located far south of Fishing Hamlet	type of	location
Elder Guardian	type of	character
Zed	type of	character
Tut's Temple	type of	location
Pineville	type of	location
Dark Hall	type of	location
Darkwood	type of	location
Herbert	type of	character
places shielded from direct sunlight	type of	location
somewhere near Herbert	type of	location
Dana	type of	character
lava pools deep underground	type of	location
ore veins seated in stone	type of	location
Pate	type of	character
diamond veins deep in the ground	type of	location
Netherite	type of	object
Kaz	type of	character
Ancient Debris	type of	object
Dean	type of	character
scutes	type of	object
Gilbert	type of	character
a nearby Illager outpost	type of	location
Yves	type of	character
Nether Fortress	type of	location
Finn	type of	character
a hidden camp on a mountain	type of	location
A.R.	type of	character
"An Interview with the Enderman"	type of	object
Nate	type of	character
Nate's library	type of	location
