Baldrick the Enchanter	type of	character
Baldrick the Enchanter's store	type of	location
Path of the Honored Dead	type of	location
Beornen	type of	character
Bellethe	type of	character
Estherian Enclave	type of	location
Widow's Veil	type of	location
Finnas	type of	character
Blair	type of	character
Norsk Leiren	type of	location
Bennings	type of	character
Fuchs	type of	character
Thing	type of	character
"Blair's Notes"	type of	object
Commander Vale	type of	character
Temple Steppes	type of	location
Sturmbeorn	type of	character
"Bounty Board"	type of	object
Estheria	type of	location
Warbeasts	type of	character
Cacklespit	type of	character
Blightbogs	type of	location
Mask of a Murderer	type of	object
Thorns as Hard as Iron	type of	object
Black Heart of a Coward	type of	object
Cam	type of	character
Rivenskull Gorge	type of	location
Forgotten Halls	type of	location
Vyrax	type of	character
Vyrax's Tower	type of	location
Clive	type of	character
Muckery	type of	location
Ember Truffles	type of	object
Eldrayn	type of	character
Wellspring Temple	type of	location
Alchemist	type of	character
Guardian of Water	type of	character
Ossean Wastes	type of	location
Guardian	type of	character
Ordrak's Heart	type of	object
Watchweald Temple	type of	location
Crows' Pass	type of	location
Frosted Hills	type of	location
Grand Regent	type of	character
Destroyer	type of	character
Torchlight	type of	location
Enclave	type of	location
Dilawar	type of	character
Zeryphesh	type of	location
Undercurrents	type of	location
"Manatoxin"	type of	object
Duros the Blade	type of	character
Edovar	type of	character
Wellspring Basin	type of	location
Glyph of Balthazar	type of	object
Elder Josimon	type of	character
the underground slave den	type of	location
Kidrik the Mauler	type of	character
Slavers' Camp	type of	location
Elder Valin	type of	character
Watchweald Portal	type of	location
Old Estherian Refuge	type of	location
Ember Keys	type of	object
Passkey Ember	type of	object
Latchkey Ember	type of	object
Estherian Spectre	type of	character
near the altars in the Rotting Crypt	type of	location
the depths beyond the Rotting Crypt	type of	location
Rotting Crypt	type of	location
Jessa	type of	character
Locket	type of	object
Fade	type of	character
Sundered Battlefield	type of	location
Cacklespit's Realm	type of	location
skulls of famous warriors	type of	object
Fazeer Shah	type of	character
Ezrek Khan	type of	character
Lamp of Marvels	type of	object
Sadwa Mesa	type of	location
Artificer	type of	character
Lamp of Wonders	type of	object
Portal	type of	location
Felicia	type of	character
Snowbell	type of	character
Sunbeam	type of	character
Grom	type of	character
Arena of Slaughter	type of	location
Guardian of Mana	type of	character
Riftkeep	type of	location
Guardian Of Air	type of	character
Salt Barrens	type of	location
a dark realm	type of	location
Grunnheim	type of	location
Dark Alchemist	type of	character
Railmaster	type of	character
	type of	object
Guardian of Air	type of	character
Forsaken Vaults	type of	location
Sphinx	type of	character
Guardian Of Mana	type of	character
Clockwork Core	type of	object
Guardian of the Wild	type of	character
Hareph	type of	character
an outpost	type of	location
Swarm Point	type of	location
High Priest Tauna	type of	character
a safe place	type of	location
the temple, houses thousands of years of historical artifacts and documents, overrun by the Sturmbeorn	type of	location
Bronze Head of Grunnheim	type of	object
Nether-Thralls	type of	character
Imperial Railmaster	type of	character
Embercraft	type of	location
Vanquisher	type of	character
Hoska	type of	character
Brood Hive	type of	location
Imperial Trapper	type of	character
Bone Defile	type of	location
Warbeast den, in the Bone Defile	type of	location
Forgotten Hero	type of	character
Spectral Champions	type of	character
Jadok	type of	character
Icedeep Caverns	type of	location
Alchemist's Journals	type of	object
Jasha	type of	character
Swarm Stacks	type of	location
Jessa and her father's camp	type of	location
Temple	type of	location
the catacombs, where dark things live	type of	location
Wraithring	type of	object
Lord Taldimut	type of	character
Celestial Armory	type of	location
Armory Portal	type of	object
Whispering Cave	type of	location
Golden Gear	type of	object
Grand Regent Eldrayn	type of	character
crests, created by the Estherians, together form a map that shows the exact location of the Golden Gear	type of	object
Guard	type of	character
Gravedeep	type of	location
Rift	type of	object
Malik Vosh	type of	character
Commander Muzaffar	type of	character
Malo	type of	character
Mashal	type of	character
Dead Shoals	type of	location
Crab King	type of	character
Medrus	type of	character
around here	type of	location
Merryweather Leaves	type of	object
Miamin	type of	character
Corrupted Crypt	type of	location
Scroll of Anom-Irek	type of	object
Muzaffar	type of	character
Tower of the Moon	type of	location
Nerasis	type of	character
Tarroch's Rift	type of	location
Ember	type of	object
Spent Ember	type of	object
Olwin	type of	character
Plunder Cove	type of	location
Captain Willy	type of	character
Larry	type of	character
a desert	type of	location
Captain Stillheart	type of	character
Professor Stoker	type of	character
next to the entrance to the Broken Mines	type of	location
Broken Mines	type of	location
4000 Model	type of	character
Imperial Camp	type of	location
Great Door	type of	location
Scrapworks	type of	location
Emberworks	type of	location
Rivenskull Pass	type of	location
Retto the Mapper	type of	character
Mapworks	type of	location
Robot Eye	type of	character
Thiss	type of	character
Crown	type of	object
Selrenki	type of	character
near the Bone Gallery	type of	location
Bone Gallery	type of	location
Ghost Chains	type of	object
Rosamortis	type of	object
Vaults Forsaken	type of	location
the entrance to the Forsaken Vaults, at a desert	type of	location
Stygian Aerie	type of	location
Manticore	type of	character
the gate to the Forsaken Vaults	type of	location
Mana Queen	type of	character
Sprocket	type of	character
Fungal Caves	type of	location
Black Blindness	type of	object
Faceless King	type of	character
Vault of Souls	type of	location
Royal Masks	type of	object
Trill-Bot 4000	type of	character
outside the dungeon	type of	location
dungeon	type of	location
Azimuthoscope	type of	object
somewhere nearby	type of	location
Cognition Linkage	type of	object
Trill	type of	character
Veras	type of	location
Redhaven	type of	location
Umahd	type of	character
Officer	type of	character
Abandoned Sawmill	type of	location
Professor	type of	character
Widget	type of	character
Cacklespit's realm	type of	location
Baldrick the Enchanter	present in	Baldrick the Enchanter's store
Baldrick the Enchanter's store	connected to	Path of the Honored Dead
Beornen	present in	Path of the Honored Dead
Miamin	present in	Path of the Honored Dead
Path of the Honored Dead	connected to	Corrupted Crypt
Bellethe	present in	Estherian Enclave
Estherian Enclave	connected to	Widow's Veil
Guardian of Water	present in	Estherian Enclave
Alchemist	present in	Estherian Enclave
Commander Vale	present in	Estherian Enclave
Malo	present in	Estherian Enclave
Finnas	present in	Widow's Veil
Blair	present in	Norsk Leiren
"Blair's Notes"	held by	Blair
Bennings	present in	Norsk Leiren
Fuchs	present in	Norsk Leiren
