noXtree,noXactual,noXtree1,noXtree2,treeXactual,treeXtree1,treeXtree2,tree1Xactual,tree2Xactual
0.78411907,0.5899913,0.6602478,0.71929044,0.68038255,0.68120974,0.7967978,0.67331773,0.70138514
0.7191433,0.65704113,0.6751545,0.7108343,0.8096977,0.7193092,0.6673348,0.7260851,0.6981076
0.7503405,0.69194543,0.81650466,0.7789763,0.7248696,0.7826693,0.7563075,0.7454813,0.7321613
0.7272663,0.71428,0.7299592,0.7514112,0.6819114,0.7939354,0.7869794,0.726499,0.72913516
0.7916322,0.7357095,0.75149965,0.8910478,0.8334745,0.801846,0.86410296,0.74724567,0.7825164
0.7914664,0.7468629,0.75606173,0.7837948,0.7256041,0.7098161,0.77130485,0.70481,0.72581786
0.78450465,0.75348514,0.8324889,0.7523014,0.73370147,0.8855071,0.7420616,0.80270535,0.71286136
0.6899402,0.7549215,0.77027833,0.7591761,0.68693537,0.69497305,0.7182791,0.74877167,0.7322517
0.75938284,0.6603162,0.7269601,0.64157313,0.65393084,0.7848443,0.6867107,0.74689513,0.74366605
0.73932356,0.7576124,0.70794964,0.7449262,0.8346629,0.84417504,0.79883456,0.7793438,0.80394804
0.8939296,0.7077838,0.82511663,0.74011415,0.69377303,0.8721648,0.7501422,0.6987204,0.672234
0.67645705,0.6707122,0.6438706,0.6624889,0.7689746,0.7604121,0.67629397,0.8637712,0.7238507
0.6931747,0.7100966,0.65907913,0.5272417,0.9116725,0.72438973,0.5801159,0.73169905,0.586625
0.74905235,0.6669568,0.6750609,0.6537838,0.6944888,0.6873807,0.6699455,0.7362259,0.7678538
0.77735925,0.68046236,0.6597112,0.69776845,0.7591537,0.7363622,0.78612816,0.881108,0.92362684
0.61645144,0.69610864,0.69866985,0.79681116,0.5838532,0.6275192,0.6461292,0.6205092,0.6698421
0.70496166,0.7107908,0.68896574,0.78710854,0.75910074,0.82812214,0.6820424,0.78454375,0.7197642
0.83122176,0.879821,0.8870956,0.86449933,0.84350085,0.7958029,0.85368955,0.8461036,0.8851158
0.7095307,0.7317037,0.6920434,0.71240664,0.8304436,0.81484,0.82073647,0.77562493,0.7909004
0.8609707,0.76285136,0.72952735,0.8378365,0.7603327,0.7572351,0.80747557,0.7939247,0.76881415
0.70948356,0.7814026,0.7054337,0.72954977,0.750351,0.79502296,0.71044374,0.7320644,0.73520863
0.6572756,0.71298456,0.6985929,0.65955156,0.6921528,0.84699523,0.7797159,0.76898986,0.6870815
0.7661273,0.7140182,0.78249663,0.73499817,0.82130086,0.88510627,0.8417713,0.85318226,0.8169399
0.8361989,0.70135885,0.70017266,0.75778276,0.64885163,0.7008331,0.8309643,0.6725069,0.70240396
0.6732236,0.62324476,0.75120384,0.77001345,0.8285188,0.74942183,0.7118512,0.6990133,0.68277
0.70937175,0.7032436,0.6841588,0.68794847,0.74801165,0.6502657,0.6917668,0.7034552,0.6536386
0.80782783,0.7930407,0.79542965,0.8515935,0.8773924,0.8145254,0.82307744,0.81201804,0.81078875
0.7058414,0.7107102,0.71237427,0.72613645,0.8221138,0.82415974,0.83954585,0.7155194,0.77038795
0.77063537,0.7379111,0.7562051,0.6950837,0.8752767,0.88273275,0.7762851,0.78623384,0.68611014
0.75191355,0.6282751,0.7992543,0.90995604,0.71589667,0.8592571,0.76383185,0.71941555,0.6566212
0.76949114,0.76960295,0.724771,0.68590105,0.70099723,0.7301512,0.6958848,0.68502754,0.65845156
0.8019925,0.7550012,0.73683476,0.7131679,0.8575566,0.7878417,0.7888675,0.7708752,0.7548699
0.7424973,0.7556316,0.7349169,0.75400794,0.7513123,0.78188413,0.73329663,0.6940538,0.6960996
0.78973645,0.7424738,0.76972854,0.7335956,0.7250847,0.7042827,0.71354055,0.685506,0.669073
0.748765,0.7416777,0.75469035,0.6165776,0.80080545,0.90681046,0.62832457,0.7934397,0.62079984
0.6696634,0.668372,0.6698898,0.50544363,0.6762418,0.8457275,0.50482166,0.6662036,0.47017774
